trial_key,trt,estimate,statistic,diff_est,pval,lsd
abel_23,red,187.82499999999993,62.31940540355321,-10.624999999999964,0.046985104544801516,10.429498324934423
abel_23,typ,177.19999999999996,58.79408298953615,-10.624999999999964,0.046985104544801516,10.429498324934423
amun1_23,red,225.92500000000004,116.38463196236167,5.124999999999965,0.11116265464051191,6.717411842603648
amun1_23,typ,231.05,119.02476138056282,5.124999999999965,0.11116265464051191,6.717411842603648
amun2_23,red,145.67500000000004,33.10599520504474,11.249999999999982,0.12063597021097136,15.226907207342029
amun2_23,typ,156.925,35.662662073462464,11.249999999999982,0.12063597021097136,15.226907207342029
ande_23,red,221.61397039999994,109.90819025933335,7.677090700000027,0.06006299142141695,NA
ande_23,typ,229.29106109999998,139.2725976525325,7.677090700000027,0.06006299142141695,NA
auke_23,red,224.87236685000002,252.4791643015675,12.896213024999984,5.06275510201509e-5,3.08207972951759
auke_23,typ,237.768579875,266.95860049382713,12.896213024999984,5.06275510201509e-5,3.08207972951759
bake1_23,red,168.44999999999993,51.25794986683275,15.575000000000024,0.015396036255271433,11.372163775938983
bake1_23,typ,184.02499999999995,55.99729429649093,15.575000000000024,0.015396036255271433,11.372163775938983
bake2_23,red,192.82500000000005,55.072723687683705,0.7999999999999858,0.8769513512609327,12.1160234906921
bake2_23,typ,193.62500000000003,55.30121158577859,0.7999999999999858,0.8769513512609327,12.1160234906921
benn_23,red,215.89999999999998,198.72574742585635,18.525000000000013,1.9756292020669095e-5,3.7595150304488203
benn_23,typ,234.42499999999998,215.7771345081351,18.525000000000013,1.9756292020669095e-5,3.7595150304488203
borc_23,red,219.12499999999997,38.84928901413439,-5.749999999999983,0.4981143398193344,19.518308416650175
borc_23,typ,213.375,37.82985530355243,-5.749999999999983,0.4981143398193344,19.518308416650175
boye_23,red,255.0499999999999,43.895102645787254,11.050000000000049,0.22731309386015788,20.10678254935728
boye_23,typ,266.09999999999997,45.79685086862964,11.050000000000049,0.22731309386015788,20.10678254935728
brag_23,red,155.93333333333342,9.163481623728567,-5.033333333333376,0.8445492680857956,66.81631783280702
brag_23,typ,150.90000000000003,8.867695876575292,-5.033333333333376,0.8445492680857956,66.81631783280702
deng_23,red,186.92499999999995,48.80815882379104,10.050000000000011,0.11291583384441192,13.252819600700251
deng_23,typ,196.97499999999997,51.43232357531759,10.050000000000011,0.11291583384441192,13.252819600700251
harv_23,red,185.32499999999993,102.94840437498826,3.6000000000000423,0.20706939467316962,6.229421411105662
harv_23,typ,188.92499999999998,104.94821150165743,3.6000000000000423,0.20706939467316962,6.229421411105662
hiem_23,red,196.27499999999995,62.76215852414356,3.475000000000023,0.4619181470537689,10.82182325802537
hiem_23,typ,199.74999999999997,63.87334691222864,3.475000000000023,0.4619181470537689,10.82182325802537
holli_23,red,218.42499999999993,61.88573138840138,1.85000000000003,0.7236432926189418,12.213640667080186
holli_23,typ,220.27499999999995,62.409886604464305,1.85000000000003,0.7236432926189418,12.213640667080186
krue_23,red,228.94599999999997,74.44414313924729,13.206000000000016,0.016152340365475967,10.029461239156904
krue_23,typ,242.152,78.73820966278079,13.206000000000016,0.016152340365475967,10.029461239156904
mcca1_23,red,181.87499999999994,45.629598594564186,13.975000000000016,0.047857596820876334,13.793029982595788
mcca1_23,typ,195.84999999999997,49.135707957363,13.975000000000016,0.047857596820876334,13.793029982595788
mcca2_23,red,198.54999999999993,61.93734154828079,3.0500000000000314,0.5261406645839922,11.093041885501545
mcca2_23,typ,201.59999999999997,62.88878396440901,3.0500000000000314,0.5261406645839922,11.093041885501545
pete_23,red,191,120.79900661843179,14.999999999999993,0.021507890419836823,9.621023987294851
pete_23,typ,206,130.28583959893692,14.999999999999993,0.021507890419836823,9.621023987294851
prev_23,red,164,209.19603975899614,5.75,0.0020416874452664213,2.7128370713345924
prev_23,typ,169.75,216.53065700664385,5.75,0.0020416874452664213,2.7128370713345924
vanh_23,red,143.96544707499996,38.62317057678672,9.625094100000013,0.11765281272328698,12.898632530792936
vanh_23,typ,153.59054117499997,41.20539887388815,9.625094100000013,0.11765281272328698,12.898632530792936
veen_23,red,231.5999999999999,57.878337358635,2.675000000000029,0.653131298848473,13.847004406053456
veen_23,typ,234.27499999999995,58.54683715325653,2.675000000000029,0.653131298848473,13.847004406053456
