Rep,Treatment,Strip,N-rate (lb/ac),yield (bu/ac) 15.5%
1,reduced,1,100,152.0452791
1,typical,2,150,150.6532765
2,typical,3,150,174.3173215
2,reduced,4,100,163.0894189
3,typical,5,150,178.9444669
3,reduced,6,100,174.0894557
4,reduced,7,100,175.0009188
4,typical,8,150,182.7042523
