STRIP,REP,TREATMENT,TOTAL N-RATE (units/ac),yield (bu/ac) @ 15.5%
1,1,Typical,189,246.4518174
2,1,Reduced,139,242.9057481
3,2,Reduced,139,241.8845097
4,2,Typical,189,241.8845097
5,3,Reduced,139,240.7121724
6,3,Typical,189,242.6299662
7,4,Typical,189,245.1289096
8,4,Reduced,139,241.1538462
