Rep,Treatment,Strip,TOTAL N-RATE (units/ac),YIELD @ 15.5% MOISTURE (bu/ac)
1,Typical,1,180,216.95
1,Reduced,2,130,216.09
2,Typical,3,180,221.25
2,Reduced,4,130,222.8
3,Typical,5,180,235.36
3,Reduced,6,130,237.47
4,Typical,7,180,240.47
4,Reduced,8,130,243.7
