Rep,Treatment,Strip,yield (bu/ac) @ 15.5%,nrate_lbac
1,Typical,1,104,246
1,Reduced,2,88.6,200
2,Typical,3,127.2,246
2,Reduced,4,96.4,200
3,Typical,5,123.1,246
3,Reduced,6,109.7,200
4,Typical,7,117.4,246
4,Reduced,8,96.2,200
