trial_key,desc,co2e_kgha,fert_type
abel_23,avoided fert manu ghg emissions,134.81589826489653,ammonium
abel_23,avoided fert manu ghg emissions,134.81589826489653,ammonium-nitrate
abel_23,avoided fert manu ghg emissions,134.81589826489653,nitrate
abel_23,avoided fert manu ghg emissions,134.81589826489653,organic
abel_23,avoided fert manu ghg emissions,134.81589826489653,urea
amun1_23,avoided fert manu ghg emissions,175.2606677443655,ammonium
amun1_23,avoided fert manu ghg emissions,175.2606677443655,ammonium-nitrate
amun1_23,avoided fert manu ghg emissions,175.2606677443655,nitrate
amun1_23,avoided fert manu ghg emissions,175.2606677443655,organic
amun1_23,avoided fert manu ghg emissions,175.2606677443655,urea
amun2_23,avoided fert manu ghg emissions,175.2606677443655,ammonium
amun2_23,avoided fert manu ghg emissions,175.2606677443655,ammonium-nitrate
amun2_23,avoided fert manu ghg emissions,175.2606677443655,nitrate
amun2_23,avoided fert manu ghg emissions,175.2606677443655,organic
amun2_23,avoided fert manu ghg emissions,175.2606677443655,urea
ande_23,avoided fert manu ghg emissions,223.34500479217857,ammonium
ande_23,avoided fert manu ghg emissions,223.34500479217857,ammonium-nitrate
ande_23,avoided fert manu ghg emissions,223.34500479217857,nitrate
ande_23,avoided fert manu ghg emissions,223.34500479217857,organic
ande_23,avoided fert manu ghg emissions,223.34500479217857,urea
auke_23,avoided fert manu ghg emissions,233.68089032582063,ammonium
auke_23,avoided fert manu ghg emissions,233.68089032582063,ammonium-nitrate
auke_23,avoided fert manu ghg emissions,233.68089032582063,nitrate
auke_23,avoided fert manu ghg emissions,233.68089032582063,organic
auke_23,avoided fert manu ghg emissions,233.68089032582063,urea
bake1_23,avoided fert manu ghg emissions,89.87726550993102,ammonium
bake1_23,avoided fert manu ghg emissions,89.87726550993102,ammonium-nitrate
bake1_23,avoided fert manu ghg emissions,89.87726550993102,nitrate
bake1_23,avoided fert manu ghg emissions,89.87726550993102,organic
bake1_23,avoided fert manu ghg emissions,89.87726550993102,urea
bake2_23,avoided fert manu ghg emissions,89.87726550993102,ammonium
bake2_23,avoided fert manu ghg emissions,89.87726550993102,ammonium-nitrate
bake2_23,avoided fert manu ghg emissions,89.87726550993102,nitrate
bake2_23,avoided fert manu ghg emissions,89.87726550993102,organic
bake2_23,avoided fert manu ghg emissions,89.87726550993102,urea
benn_23,avoided fert manu ghg emissions,188.74225757085517,ammonium
benn_23,avoided fert manu ghg emissions,188.74225757085517,ammonium-nitrate
benn_23,avoided fert manu ghg emissions,188.74225757085517,nitrate
benn_23,avoided fert manu ghg emissions,188.74225757085517,organic
benn_23,avoided fert manu ghg emissions,188.74225757085517,urea
borc_23,avoided fert manu ghg emissions,134.81589826489653,ammonium
borc_23,avoided fert manu ghg emissions,134.81589826489653,ammonium-nitrate
borc_23,avoided fert manu ghg emissions,134.81589826489653,nitrate
borc_23,avoided fert manu ghg emissions,134.81589826489653,organic
borc_23,avoided fert manu ghg emissions,134.81589826489653,urea
boye_23,avoided fert manu ghg emissions,224.69316377482753,ammonium
boye_23,avoided fert manu ghg emissions,224.69316377482753,ammonium-nitrate
boye_23,avoided fert manu ghg emissions,224.69316377482753,nitrate
boye_23,avoided fert manu ghg emissions,224.69316377482753,organic
boye_23,avoided fert manu ghg emissions,224.69316377482753,urea
brag_23,avoided fert manu ghg emissions,190.9891892086034,ammonium
brag_23,avoided fert manu ghg emissions,190.9891892086034,ammonium-nitrate
brag_23,avoided fert manu ghg emissions,190.9891892086034,nitrate
brag_23,avoided fert manu ghg emissions,190.9891892086034,organic
brag_23,avoided fert manu ghg emissions,190.9891892086034,urea
deng_23,avoided fert manu ghg emissions,89.87726550993102,ammonium
deng_23,avoided fert manu ghg emissions,89.87726550993102,ammonium-nitrate
deng_23,avoided fert manu ghg emissions,89.87726550993102,nitrate
deng_23,avoided fert manu ghg emissions,89.87726550993102,organic
deng_23,avoided fert manu ghg emissions,89.87726550993102,urea
harv_23,avoided fert manu ghg emissions,166.27294119337242,ammonium
harv_23,avoided fert manu ghg emissions,166.27294119337242,ammonium-nitrate
harv_23,avoided fert manu ghg emissions,166.27294119337242,nitrate
harv_23,avoided fert manu ghg emissions,166.27294119337242,organic
harv_23,avoided fert manu ghg emissions,166.27294119337242,urea
hiem_23,avoided fert manu ghg emissions,188.74225757085517,ammonium
hiem_23,avoided fert manu ghg emissions,188.74225757085517,ammonium-nitrate
hiem_23,avoided fert manu ghg emissions,188.74225757085517,nitrate
hiem_23,avoided fert manu ghg emissions,188.74225757085517,organic
hiem_23,avoided fert manu ghg emissions,188.74225757085517,urea
holli_23,avoided fert manu ghg emissions,179.75453101986204,ammonium
holli_23,avoided fert manu ghg emissions,179.75453101986204,ammonium-nitrate
holli_23,avoided fert manu ghg emissions,179.75453101986204,nitrate
holli_23,avoided fert manu ghg emissions,179.75453101986204,organic
holli_23,avoided fert manu ghg emissions,179.75453101986204,urea
krue_23,avoided fert manu ghg emissions,112.34658188741376,ammonium
krue_23,avoided fert manu ghg emissions,112.34658188741376,ammonium-nitrate
krue_23,avoided fert manu ghg emissions,112.34658188741376,nitrate
krue_23,avoided fert manu ghg emissions,112.34658188741376,organic
krue_23,avoided fert manu ghg emissions,112.34658188741376,urea
mcca1_23,avoided fert manu ghg emissions,224.69316377482753,ammonium
mcca1_23,avoided fert manu ghg emissions,224.69316377482753,ammonium-nitrate
mcca1_23,avoided fert manu ghg emissions,224.69316377482753,nitrate
mcca1_23,avoided fert manu ghg emissions,224.69316377482753,organic
mcca1_23,avoided fert manu ghg emissions,224.69316377482753,urea
mcca2_23,avoided fert manu ghg emissions,224.69316377482753,ammonium
mcca2_23,avoided fert manu ghg emissions,224.69316377482753,ammonium-nitrate
mcca2_23,avoided fert manu ghg emissions,224.69316377482753,nitrate
mcca2_23,avoided fert manu ghg emissions,224.69316377482753,organic
mcca2_23,avoided fert manu ghg emissions,224.69316377482753,urea
pete_23,avoided fert manu ghg emissions,224.69316377482753,ammonium
pete_23,avoided fert manu ghg emissions,224.69316377482753,ammonium-nitrate
pete_23,avoided fert manu ghg emissions,224.69316377482753,nitrate
pete_23,avoided fert manu ghg emissions,224.69316377482753,organic
pete_23,avoided fert manu ghg emissions,224.69316377482753,urea
prev_23,avoided fert manu ghg emissions,238.17475360131724,ammonium
prev_23,avoided fert manu ghg emissions,238.17475360131724,ammonium-nitrate
prev_23,avoided fert manu ghg emissions,238.17475360131724,nitrate
prev_23,avoided fert manu ghg emissions,238.17475360131724,organic
prev_23,avoided fert manu ghg emissions,238.17475360131724,urea
vanh_23,avoided fert manu ghg emissions,269.63179652979306,ammonium
vanh_23,avoided fert manu ghg emissions,269.63179652979306,ammonium-nitrate
vanh_23,avoided fert manu ghg emissions,269.63179652979306,nitrate
vanh_23,avoided fert manu ghg emissions,269.63179652979306,organic
vanh_23,avoided fert manu ghg emissions,269.63179652979306,urea
veen_23,avoided fert manu ghg emissions,89.87726550993102,ammonium
veen_23,avoided fert manu ghg emissions,89.87726550993102,ammonium-nitrate
veen_23,avoided fert manu ghg emissions,89.87726550993102,nitrate
veen_23,avoided fert manu ghg emissions,89.87726550993102,organic
veen_23,avoided fert manu ghg emissions,89.87726550993102,urea
abel_23,"avoided n2o emissions, direct",78.73179770839714,ammonium
abel_23,"avoided n2o emissions, direct",78.73179770839714,ammonium-nitrate
abel_23,"avoided n2o emissions, direct",78.73179770839714,nitrate
abel_23,"avoided n2o emissions, direct",78.73179770839714,organic
abel_23,"avoided n2o emissions, direct",78.73179770839714,urea
amun1_23,"avoided n2o emissions, direct",102.35133702091626,ammonium
amun1_23,"avoided n2o emissions, direct",102.35133702091626,ammonium-nitrate
amun1_23,"avoided n2o emissions, direct",102.35133702091626,nitrate
amun1_23,"avoided n2o emissions, direct",102.35133702091626,organic
