trial_key,desc,fert_type,co2e_kgha
abel_23,"avoided n2o emissions, direct",ammonium,78.73179770839714
abel_23,"avoided n2o emissions, direct",ammonium-nitrate,78.73179770839714
abel_23,"avoided n2o emissions, direct",nitrate,78.73179770839714
abel_23,"avoided n2o emissions, direct",organic,78.73179770839714
abel_23,"avoided n2o emissions, direct",urea,78.73179770839714
amun1_23,"avoided n2o emissions, direct",ammonium,102.35133702091626
amun1_23,"avoided n2o emissions, direct",ammonium-nitrate,102.35133702091626
amun1_23,"avoided n2o emissions, direct",nitrate,102.35133702091626
amun1_23,"avoided n2o emissions, direct",organic,102.35133702091626
amun1_23,"avoided n2o emissions, direct",urea,102.35133702091626
amun2_23,"avoided n2o emissions, direct",ammonium,102.35133702091626
amun2_23,"avoided n2o emissions, direct",ammonium-nitrate,102.35133702091626
amun2_23,"avoided n2o emissions, direct",nitrate,102.35133702091626
amun2_23,"avoided n2o emissions, direct",organic,102.35133702091626
amun2_23,"avoided n2o emissions, direct",urea,102.35133702091626
ande_23,"avoided n2o emissions, direct",ammonium,130.43234487024458
ande_23,"avoided n2o emissions, direct",ammonium-nitrate,130.43234487024458
ande_23,"avoided n2o emissions, direct",nitrate,130.43234487024458
ande_23,"avoided n2o emissions, direct",organic,130.43234487024458
ande_23,"avoided n2o emissions, direct",urea,130.43234487024458
auke_23,"avoided n2o emissions, direct",ammonium,136.4684493612217
auke_23,"avoided n2o emissions, direct",ammonium-nitrate,136.4684493612217
auke_23,"avoided n2o emissions, direct",nitrate,136.4684493612217
auke_23,"avoided n2o emissions, direct",organic,136.4684493612217
auke_23,"avoided n2o emissions, direct",urea,136.4684493612217
bake1_23,"avoided n2o emissions, direct",ammonium,52.48786513893143
bake1_23,"avoided n2o emissions, direct",ammonium-nitrate,52.48786513893143
bake1_23,"avoided n2o emissions, direct",nitrate,52.48786513893143
bake1_23,"avoided n2o emissions, direct",organic,52.48786513893143
bake1_23,"avoided n2o emissions, direct",urea,52.48786513893143
bake2_23,"avoided n2o emissions, direct",ammonium,52.48786513893143
bake2_23,"avoided n2o emissions, direct",ammonium-nitrate,52.48786513893143
bake2_23,"avoided n2o emissions, direct",nitrate,52.48786513893143
bake2_23,"avoided n2o emissions, direct",organic,52.48786513893143
bake2_23,"avoided n2o emissions, direct",urea,52.48786513893143
benn_23,"avoided n2o emissions, direct",ammonium,110.22451679175599
benn_23,"avoided n2o emissions, direct",ammonium-nitrate,110.22451679175599
benn_23,"avoided n2o emissions, direct",nitrate,110.22451679175599
benn_23,"avoided n2o emissions, direct",organic,110.22451679175599
benn_23,"avoided n2o emissions, direct",urea,110.22451679175599
borc_23,"avoided n2o emissions, direct",ammonium,78.73179770839714
borc_23,"avoided n2o emissions, direct",ammonium-nitrate,78.73179770839714
borc_23,"avoided n2o emissions, direct",nitrate,78.73179770839714
borc_23,"avoided n2o emissions, direct",organic,78.73179770839714
borc_23,"avoided n2o emissions, direct",urea,78.73179770839714
boye_23,"avoided n2o emissions, direct",ammonium,131.21966284732858
boye_23,"avoided n2o emissions, direct",ammonium-nitrate,131.21966284732858
boye_23,"avoided n2o emissions, direct",nitrate,131.21966284732858
boye_23,"avoided n2o emissions, direct",organic,131.21966284732858
boye_23,"avoided n2o emissions, direct",urea,131.21966284732858
brag_23,"avoided n2o emissions, direct",ammonium,111.53671342022928
brag_23,"avoided n2o emissions, direct",ammonium-nitrate,111.53671342022928
brag_23,"avoided n2o emissions, direct",nitrate,111.53671342022928
brag_23,"avoided n2o emissions, direct",organic,111.53671342022928
brag_23,"avoided n2o emissions, direct",urea,111.53671342022928
deng_23,"avoided n2o emissions, direct",ammonium,52.48786513893143
deng_23,"avoided n2o emissions, direct",ammonium-nitrate,52.48786513893143
deng_23,"avoided n2o emissions, direct",nitrate,52.48786513893143
deng_23,"avoided n2o emissions, direct",organic,52.48786513893143
deng_23,"avoided n2o emissions, direct",urea,52.48786513893143
harv_23,"avoided n2o emissions, direct",ammonium,97.10255050702317
