trial_key,bestsav_dolac,worstsav_dolac,midsav_dolac
abel_23,42,9.3599999999999,25.67999999999995
amun1_23,54.59999999999991,12.16800000000012,33.384000000000015
amun2_23,54.599999999999966,12.16800000000012,33.384000000000015
ande_23,69.57999999999993,15.506399999999985,42.543199999999956
auke_23,14.380154996749638,-54.70517163750037,-20.162508320375423
bake1_23,-42.554750000000126,-79.42250000000024,-60.988625000000184
bake2_23,28,6.239999999999895,17.120000000000005
benn_23,-25.11824999999976,-88.78349999999955,-56.95087499999977
borc_23,42,9.3599999999999,25.680000000000064
boye_23,70,15.600000000000136,42.799999999999955
brag_23,59.5,13.259999999999991,36.37999999999988
deng_23,28,6.240000000000009,17.120000000000005
harv_23,51.799999999999955,11.543999999999983,31.672000000000025
hiem_23,58.799999999999955,13.104000000000042,35.952
holli_23,56,12.480000000000018,34.24000000000001
krue_23,-24.823180000000548,-64.83300000000054,-44.82809000000043
mcca1_23,6.69324999999958,-61.26250000000039,-27.28462500000046
mcca2_23,70,15.599999999999909,42.80000000000007
pete_23,2.0499999999999545,-66.90000000000009,-32.42500000000007
prev_23,48.152499999999634,-15.089000000000283,16.53174999999976
vanh_23,84,18.720000000000027,51.360000000000014
veen_23,28,6.240000000000009,17.12000000000012
