trial_key,bestsav_dolac,worstsav_dolac,midsav_dolac
amun_22,-12.49890543000015,-64.16417765200026,-38.331541541000206
ande_22,45.77520719249992,8.896236806999923,27.33572199974992
bake_22,-27.799999999999727,-91.0666666666666,-59.433333333333394
bard_22,-36.243351592500176,-96.29829296699995,-66.27082227975006
benn_22,60,30,45
borc_22,-138.63078818250028,-201.4172448430004,-170.02401651275045
boye_22,60,30,45
deal_22,-46.80887658000029,-110.16322751200028,-78.48605204600017
dool_22,-83.68453716750003,-173.1754978969999,-128.43001753225008
fred_22,60,30,45
freds_22,-42.39813913124999,-104.3751018774999,-73.38662050437483
harv_22,-220.7209171799999,-337.4099053520001,-279.06541126599984
prev_22,-59.94000000000011,-123.4960000000001,-91.71800000000019
sier_22,71.5200000000001,35.75999999999999,53.639999999999986
veen1_22,-117.54488178750069,-202.98872206500073,-160.26680192625076
veen2_22,60,30,45
wald_22,88.79999999999995,44.40000000000009,66.59999999999991
