lon,lat,city,doy,mm,dd,name,value,wea_type
-95.4990369,41.0227224,hastings,1,1,1,t_lt,20.42560975609756,air temperature deg F
-95.4990369,41.0227224,hastings,1,1,1,t_22,6.87,air temperature deg F
-95.4990369,41.0227224,hastings,2,1,2,t_lt,21.901463414634147,air temperature deg F
-95.4990369,41.0227224,hastings,2,1,2,t_22,7.61,air temperature deg F
-95.4990369,41.0227224,hastings,3,1,3,t_lt,22.90731707317073,air temperature deg F
-95.4990369,41.0227224,hastings,3,1,3,t_22,23.88,air temperature deg F
-95.4990369,41.0227224,hastings,4,1,4,t_lt,21.508048780487805,air temperature deg F
-95.4990369,41.0227224,hastings,4,1,4,t_22,29.95,air temperature deg F
-95.4990369,41.0227224,hastings,5,1,5,t_lt,22.361463414634148,air temperature deg F
-95.4990369,41.0227224,hastings,5,1,5,t_22,11.12,air temperature deg F
-95.4990369,41.0227224,hastings,6,1,6,t_lt,21.55951219512195,air temperature deg F
-95.4990369,41.0227224,hastings,6,1,6,t_22,4.6,air temperature deg F
-95.4990369,41.0227224,hastings,7,1,7,t_lt,21.516829268292682,air temperature deg F
-95.4990369,41.0227224,hastings,7,1,7,t_22,11.91,air temperature deg F
-95.4990369,41.0227224,hastings,8,1,8,t_lt,22.79,air temperature deg F
-95.4990369,41.0227224,hastings,8,1,8,t_22,25.14,air temperature deg F
-95.4990369,41.0227224,hastings,9,1,9,t_lt,22.31219512195122,air temperature deg F
-95.4990369,41.0227224,hastings,9,1,9,t_22,17.02,air temperature deg F
-95.4990369,41.0227224,hastings,10,1,10,t_lt,22.841951219512197,air temperature deg F
-95.4990369,41.0227224,hastings,10,1,10,t_22,22.01,air temperature deg F
-95.4990369,41.0227224,hastings,11,1,11,t_lt,24.81219512195122,air temperature deg F
-95.4990369,41.0227224,hastings,11,1,11,t_22,30.42,air temperature deg F
-95.4990369,41.0227224,hastings,12,1,12,t_lt,22.689756097560977,air temperature deg F
-95.4990369,41.0227224,hastings,12,1,12,t_22,35.82,air temperature deg F
-95.4990369,41.0227224,hastings,13,1,13,t_lt,22.14512195121951,air temperature deg F
-95.4990369,41.0227224,hastings,13,1,13,t_22,35.87,air temperature deg F
-95.4990369,41.0227224,hastings,14,1,14,t_lt,23.64048780487805,air temperature deg F
-95.4990369,41.0227224,hastings,14,1,14,t_22,32,air temperature deg F
-95.4990369,41.0227224,hastings,15,1,15,t_lt,21.980975609756097,air temperature deg F
-95.4990369,41.0227224,hastings,15,1,15,t_22,17.71,air temperature deg F
-95.4990369,41.0227224,hastings,16,1,16,t_lt,22.46609756097561,air temperature deg F
-95.4990369,41.0227224,hastings,16,1,16,t_22,25.02,air temperature deg F
-95.4990369,41.0227224,hastings,17,1,17,t_lt,22.732439024390242,air temperature deg F
-95.4990369,41.0227224,hastings,17,1,17,t_22,30.04,air temperature deg F
-95.4990369,41.0227224,hastings,18,1,18,t_lt,22.52219512195122,air temperature deg F
-95.4990369,41.0227224,hastings,18,1,18,t_22,35.44,air temperature deg F
-95.4990369,41.0227224,hastings,19,1,19,t_lt,21.96292682926829,air temperature deg F
-95.4990369,41.0227224,hastings,19,1,19,t_22,14.22,air temperature deg F
-95.4990369,41.0227224,hastings,20,1,20,t_lt,21.640975609756097,air temperature deg F
-95.4990369,41.0227224,hastings,20,1,20,t_22,4.89,air temperature deg F
-95.4990369,41.0227224,hastings,21,1,21,t_lt,23.357317073170734,air temperature deg F
-95.4990369,41.0227224,hastings,21,1,21,t_22,12.9,air temperature deg F
-95.4990369,41.0227224,hastings,22,1,22,t_lt,24.65170731707317,air temperature deg F
-95.4990369,41.0227224,hastings,22,1,22,t_22,28.94,air temperature deg F
-95.4990369,41.0227224,hastings,23,1,23,t_lt,23.19390243902439,air temperature deg F
-95.4990369,41.0227224,hastings,23,1,23,t_22,25.93,air temperature deg F
-95.4990369,41.0227224,hastings,24,1,24,t_lt,23.97390243902439,air temperature deg F
-95.4990369,41.0227224,hastings,24,1,24,t_22,28.22,air temperature deg F
-95.4990369,41.0227224,hastings,25,1,25,t_lt,23.090731707317072,air temperature deg F
-95.4990369,41.0227224,hastings,25,1,25,t_22,10.98,air temperature deg F
