trial_key,trt,estimate,statistic,diff_est,pval,lsd
amun_22,red,0.36761533345583114,72.776838551366,0.1901588354490319,1.8555980746618014e-7,0.01747969112703228
amun_22,typ,0.557774168904863,110.42259923412252,0.1901588354490319,1.8555980746618014e-7,0.01747969112703228
ande_22,red,0.619966136246206,187.4523964513289,0.29364389573952304,1.0979829126954583e-9,0.011444854963688677
ande_22,typ,0.913610031985729,276.23829739256695,0.29364389573952304,1.0979829126954583e-9,0.011444854963688677
bake_22,red,0.511792070931856,93.43443484282784,0.2345779685111128,7.08366405024373e-6,0.02150753702413025
bake_22,typ,0.7463700394429688,136.2597562170091,0.2345779685111128,7.08366405024373e-6,0.02150753702413025
bard_22,red,0.5432351999304301,42.181453153789185,0.17897139595863565,6.399039531135184e-5,0.04456559284147769
bard_22,typ,0.7222065958890658,56.078331624595656,0.17897139595863565,6.399039531135184e-5,0.04456559284147769
benn_22,red,0.5751853745021935,228.03030325421898,0.19937354059180395,2.2033960601066747e-9,0.008728680395703818
benn_22,typ,0.7745589150939975,307.0712715009577,0.19937354059180395,2.2033960601066747e-9,0.008728680395703818
borc_22,red,0.5674754525404958,39.32662938801968,0.019125079702536206,0.3848335924973503,0.04993369182815721
borc_22,typ,0.586600532243032,40.65201697634766,0.019125079702536206,0.3848335924973503,0.04993369182815721
boye_22,red,0.5664911143966473,32.13401867587596,0.2226497760331792,1.0996682650821553e-4,0.06100443126991483
boye_22,typ,0.7891408904298265,44.763752628278645,0.2226497760331792,1.0996682650821553e-4,0.06100443126991483
deal_22,red,0.7964096837974164,82.41089344139237,0.15610526024098326,2.700927033846015e-5,0.03344146015887647
deal_22,typ,0.9525149440383996,98.56435594830097,0.15610526024098326,2.700927033846015e-5,0.03344146015887647
dool_22,red,0.8148581227156286,75.73213302214855,0.2771276768982221,1.764747417257466e-6,0.03723360886494158
dool_22,typ,1.0919857996138507,101.48811373328323,0.2771276768982221,1.764747417257466e-6,0.03723360886494158
fred_22,red,0.6041755696694664,19.153270649820534,0.2746772383080806,8.417342014317648e-4,0.10915748900140847
fred_22,typ,0.8788528079775471,27.860950587190562,0.2746772383080806,8.417342014317648e-4,0.10915748900140847
freds_22,red,0.5010577291384788,130.6798212913358,0.17249556076225,1.8564849126409444e-14,0.011629963110360814
freds_22,typ,0.6735532899007288,175.66802872347716,0.17249556076225,1.8564849126409444e-14,0.011629963110360814
harv_22,red,0.37088751015995874,41.22166861374415,0.1483566977219997,2.3987548667291748e-5,0.03113507835822974
harv_22,typ,0.5192442078819585,57.71052429801387,0.1483566977219997,2.3987548667291748e-5,0.03113507835822974
prev_22,red,2.0585453188288683,22.331318926201995,0.03973531239149205,0.7708141358019202,0.31899169819090006
prev_22,typ,2.0982806312203603,22.762371828234524,0.03973531239149205,0.7708141358019202,0.31899169819090006
sier_22,red,1.3764947665136418,53.753843444087785,0.3990278027078576,3.323070020929778e-5,0.08861318868478367
sier_22,typ,1.7755225692214993,69.33637856038379,0.3990278027078576,3.323070020929778e-5,0.08861318868478367
veen1_22,red,0.553284798004203,52.428560586507565,0.14495125765280187,6.838998694532956e-5,0.0365186004822887
veen1_22,typ,0.6982360556570049,66.16395657308345,0.14495125765280187,6.838998694532956e-5,0.0365186004822887
veen2_22,red,0.5781909577862694,21.109529990676574,0.3007344235980865,2.4018304866350144e-4,0.09478204048176908
veen2_22,typ,0.8789253813843558,32.089228390801566,0.3007344235980865,2.4018304866350144e-4,0.09478204048176908
wald_22,red,1.047182924535337,27.30669013041195,0.4111483134254038,6.4925623231213655e-6,0.1181648781849522
wald_22,typ,1.4583312379607407,38.02793025885536,0.4111483134254038,6.4925623231213655e-6,0.1181648781849522
